date,NO2,NO2_cleaned,NO2_filled
2023-12-25,4.1345396e-05,4.1345396e-05,4.1345396e-05
2023-12-26,4.3476106e-05,4.3476106e-05,4.3476106e-05
2023-12-27,3.5949946e-05,3.5949946e-05,3.5949946e-05
2023-12-28,4.1170533e-05,4.1170533e-05,4.1170533e-05
2023-12-29,4.0506035e-05,4.0506035e-05,4.0506035e-05
2023-12-30,4.177733e-05,4.177733e-05,4.177733e-05
2023-12-31,2.4935538e-05,2.4935538e-05,2.4935538e-05
2024-01-01,3.0316805999999997e-05,,
2024-01-02,3.5698074e-05,3.5698074e-05,3.5698074e-05
2024-01-03,4.07598e-05,4.07598e-05,4.07598e-05
2024-01-04,4.5821536e-05,4.5821536e-05,4.5821536e-05
2024-01-05,4.809261e-05,4.809261e-05,4.809261e-05
2024-01-06,4.698617e-05,4.698617e-05,4.698617e-05
2024-01-07,4.5879737e-05,4.5879737e-05,4.5879737e-05
2024-01-08,4.4773304e-05,4.4773304e-05,4.4773304e-05
2024-01-09,4.3666867e-05,4.3666867e-05,4.3666867e-05
2024-01-10,4.131894e-05,4.131894e-05,4.131894e-05
2024-01-11,3.5999776e-05,3.5999776e-05,3.5999776e-05
2024-01-12,1.3330577e-05,1.3330577e-05,1.3330577e-05
2024-01-13,1.917698e-05,1.917698e-05,1.917698e-05
2024-01-14,1.3653994e-05,1.3653994e-05,1.3653994e-05
2024-01-15,1.4111102e-05,1.4111102e-05,1.4111102e-05
2024-01-16,1.4568209e-05,1.4568209e-05,1.4568209e-05
2024-01-17,1.7164783e-05,1.7164783e-05,1.7164783e-05
2024-01-18,1.9761354e-05,1.9761354e-05,1.9761354e-05
2024-01-19,2.2357925e-05,2.2357925e-05,2.2357925e-05
2024-01-20,2.4954496e-05,2.4954496e-05,2.4954496e-05
2024-01-21,2.1997743e-05,2.1997743e-05,2.1997743e-05
2024-01-22,1.7116408e-05,1.7116408e-05,1.7116408e-05
2024-01-23,1.9304622e-05,1.9304622e-05,1.9304622e-05
2024-01-24,2.1492839e-05,2.1492839e-05,2.1492839e-05
2024-01-25,2.3681054e-05,2.3681054e-05,2.3681054e-05
2024-01-26,2.2159305e-05,2.2159305e-05,2.2159305e-05
2024-01-27,2.0637555e-05,2.0637555e-05,2.0637555e-05
2024-01-28,2.1378733e-05,2.1378733e-05,2.1378733e-05
2024-01-29,2.2119908e-05,2.2119908e-05,2.2119908e-05
2024-01-30,2.286108e-05,2.286108e-05,2.286108e-05
2024-01-31,2.3602255e-05,2.3602255e-05,2.3602255e-05
2024-02-01,2.434343e-05,2.434343e-05,2.434343e-05
2024-02-02,2.4682296e-05,2.4682296e-05,2.4682296e-05
2024-02-03,2.5021163e-05,2.5021163e-05,2.5021163e-05
2024-02-04,2.536003e-05,2.536003e-05,2.536003e-05
2024-02-05,2.1380916e-05,2.1380916e-05,2.1380916e-05
2024-02-06,2.2223156e-05,2.2223156e-05,2.2223156e-05
2024-02-07,2.0773374e-05,2.0773374e-05,2.0773374e-05
2024-02-08,1.932359e-05,1.932359e-05,1.932359e-05
2024-02-09,1.787381e-05,1.787381e-05,1.787381e-05
2024-02-10,1.6424026e-05,1.6424026e-05,1.6424026e-05
2024-02-11,1.4974245e-05,1.4974245e-05,1.4974245e-05
2024-02-12,1.734639e-05,1.734639e-05,1.734639e-05
2024-02-13,1.31423985e-05,1.31423985e-05,1.31423985e-05
2024-02-14,2.1568245e-05,2.1568245e-05,2.1568245e-05
2024-02-15,2.9994095e-05,2.9994095e-05,2.9994095e-05
2024-02-16,3.2565793e-05,3.2565793e-05,3.2565793e-05
2024-02-17,3.0370184e-05,3.0370184e-05,3.0370184e-05
